time,ppg_1_green,ppg_1_red,ppg_1_ir,ppg_2_green,ppg_2_red,ppg_2_ir
97.815,0.6417121421051727,0.6828125325843541,0.737328244446591,0.6173814816882782,0.7166791387150235,0.6689118415908074
97.82,0.6352270022892962,0.678340629238896,0.731533486896478,0.6188723095491565,0.7158631958079913,0.6675401133975462
97.825,0.630534285224418,0.6739129985962298,0.7234475653504036,0.6205530280340016,0.71305610067177,0.664290075244826
97.83,0.6242047537754752,0.6702022117884855,0.7164698663290511,0.622044194958147,0.7080860721513911,0.6589101498335779
97.835,0.6151250578953251,0.6669411500983354,0.7121753172359764,0.6231098451210311,0.7014116474174309,0.6511399958236584
97.84,0.6064126462076919,0.6641450944063471,0.7084651099604956,0.6236859871221023,0.6933584277944514,0.6412253523906676
97.845,0.6007796758411689,0.6612824285392985,0.7033458996446952,0.6235620174727068,0.6836807731585657,0.6298384250482626
97.85,0.5971591059415283,0.6569557663523743,0.6979538204009763,0.6223459385705656,0.6723248397627958,0.6175650539547215
97.855,0.5931491096834969,0.6512930411004763,0.6940474260999705,0.6197385737941595,0.6601393397153824,0.6047707313634557
97.86,0.5880485643420525,0.646720168200023,0.6908111329761021,0.6156345064147404,0.6481672619950826,0.5917082872562583
97.865,0.5823953492751575,0.6445310718795021,0.6866383935757833,0.6099827452140144,0.6365476038529971,0.5784029265905429
97.87,0.5769385356013792,0.6427325368019307,0.6823928521708063,0.602709771922864,0.6247338890991675,0.5647326124150198
97.875,0.5728118235278118,0.6390978650872263,0.6801460920995284,0.5937666858070303,0.6125606055909825,0.5509794431541452
97.88,0.5704469505507961,0.6342771584192827,0.679776503062432,0.5831866859764979,0.6005452955550861,0.537948898489159
97.885,0.568057472907452,0.630133306679341,0.6794217032326714,0.5711403762532545,0.5892722408947504,0.526149208309264
97.89,0.5636087677709342,0.6271791052165594,0.6784126196378795,0.5579185500856513,0.5788459542946544,0.5152088456436273
97.895,0.5581397823187332,0.6254871119516241,0.6772500678479331,0.54377990747641,0.5688575420901222,0.5045241660893591
